id,title,company,content,publicationDate,location,type,tags
12,FULL STACK DEVELOPER WEB3,Simonet Consulting LLC,Hi We are looking for a full-stack Developer Web3 with experience as a blockchain developer or solidity/smart contract developer to create backend and front end as well. We need this to happen quickly and if possible by the end of April or May. So we can offer one coin in our crowdfunding campaign to the higher sponsors who donate $300 or more. For this first series of 10 Films. We are looking to create 2 Million bitcoins at a value of $200 USD each for our (we hope) Award-winning IMAX and THX quality upcoming Documentaries Series of 10 feature films about Asia Ancient Secrets knowledge accompanied by 24 50 minutes complementary documentary episodes for each film providing a total of over 200 hours of content. We are using 16K cameras shooting in raw with a total of 5 cameras; drones jib dolly and lights with a lite crew of 12 to 16 people. 4 camera operators/producers and 1 director and 1 sound engineer and 1 associate sound engineer. Several PA and translators guide bus driver 3 minibusses and several general helpers for physical labor help. We are shooting in Oct/ Nov 2022 editing in Nov/Dec/Jan and delivering it early February. Theatrical release in US France and Canada between May and July 2022. It all depends on our Festivals requirements and what we need to do to enter the Oscars as a candidate. Online Launch Aug 20th or Sept 6th 2022. This will be distributed worldwide first to major Streamers in US Canada and Europe with a 1-month IMAX theatrical release and a second deal after 18 months with a second streamer like Netflix where they will be offered the Award-winning Feature film with 24 brand new 50 minutes each documentaries complementing the film. We calculated roughly a potential $200M profit in 4 years with 3 feature documentaries produced each year for the Asia series. And we will build either in Montreal or in Ibiza we have not decided. Maybe we will build in both places. a full international post-production factory with at least 30 Edit bays and 5 final mixing edit studios to finish each documentary by finishing the visuals with the audio final mastering to generate the masters for Streaming and Theatrical distribution. The editing factory will allow us to produce several series per 4-year cycle with multiple teams on each continent all this to allow us to generate more quickly our content. We will as well as have a full-scale on-demand server farm for the 3rd round of income which will be from the year 2026 and beyond with direct on-demand delivery directly to our end users for rental or digital purchase. 4th round of income is the DVD market but that will be available only 3 months after the film has been released with the major streamer for two months. We will offer the feature film first and then after our second distribution deal with our second streamer has been in effect for 6 months we will release the 24 50 minute episode DVD set of 12 DVDs with 2 50 min. film on each. We will donate a 10 percent share of our revenues from the films produced in their country at minimum to an NGO in the country we cover for each film that we make. Like our first one will be Nepal. So Nepal will receive 10 percent for the life of the content of the revenue generated by it to help the needy and the homeless. We also pay each of our subjects and we work with major helpers like the temple that act as co-producer by introducing us to several other special subjects. Our Subject matter is ancient knowledge that is disappearing and so we will document and donate all of our raw footage to the government public library after we have used it and produced our programs. They will only be able to use it for education and research but they will own a copy of it in their national library. We will focus on public ceremonies and their history and origins but also on private ones like an exorcism shamanism healing divination spirit connection possession and various Universal spiritual teaching like alchemy and more. So our documentaries will benefit the country both with some financial help as well as protecting and recording for future generations an important part of each nation’s knowledge and secret traditions. I will repeat that these can be used in museums and all kinds of educative mediums as well. All commercial copyrights will be owned by our corporation Two Heavens As One Films and its holding company SIMONET Consulting LLC. We also are looking at generating physical products like HD 4K DVD with the bigger edition that will include 13 dvds altogether. 1 for the feature and 12 for the complementary documentary. Job Developer company pay: Pay will be either cash/ wire transfer or 100 percent percentage of Revenues paid In crypto. We would prefer a partner willing to take a pay package made of an agreed percentage of revenue from the production. Plus a small fee once we get our budget but we need a very discounted fee if we are going to offer percentages. Because we could consider between 5% to 7% of our revenue for a series. That is roughly 5-7% of $200M Negotiable. Let’s discuss. We are interested in the developer's help but also the ability to execute a campaign to promote and sell those coins to your existing network of buyers and sponsors and bakers for others products. We need to find backers that will believe our short business plan here and that these sponsors/backers will believe in us reaching $1B revenue by 2030 With series covering North America Europe The Middle East Eurasia Africa South America Australia And the islands of the pacific. And more. Even if they only have the first series of coins that one may have gained a lot of value by 2030. Contact our CEO directly for more info and set up a meeting. We are starting our crowdfunding for the first documentary within the next 30 days and we would like to have the coins or NFTs ready by the end of April or May. Excuse my mistake if I use the wrong words but I am still learning the whole environment. Each coin buyer will receive a digital download copy of the 10 documentaries produced in the series as they become available represented by the crypto coin. If we can generate the coins by the end of March we would actually include the coins in our crowdfunding campaign. With each new series we will add another new 2 million bitcoins or more at a $200 valuation each but we will see as it goes and as we evolve in the production process of these documentaries. We have other products planned that will also be interesting to sell crypto. So let’s start with this one and be successful and we will see what we will do in the future. Thanks for considering us. If you are a single Developer talk to us but be ready to talk about your experience and your existing customers. If you have a small company or a big one please talk to us we want to talk to as many candidates as possible be ready with references as well. Please send us your full resume. Thanks. Sincerely Bruno SIMONET CEO,2022-03-29 15:41:25.441055,[China] Hong Kong SAR,Full-Time,7
13,Autonomous Driving System Developing Engineer/Module Integration Team Leader,Momenta,Responsibility: You will work cross-functionally with algorithms and softwarefirmware teams to build the most cutting-edge autonomous driving system. You will come to help us to integrate the autonomous driving perception algorithm module、components develop and debug. Work closely with Engineering and algorithm team to improve the performance of embedded and RTOS autonomous driving system. Implement and design closed loop system to achieve the data and automotive system in a real-time condition. Build up automotive system software architect and offline test environment of algorithm modules. Requirement： Solid understanding of C/C++ language.Have ability to optimize program performance. Familiar with at least one kind of scripting language include python or shell. Familiar with the compilation process proficient in using CMake to compile scripts and familiar with cross-platform cross-compilation (x86/ARM). Familiar with GDB debugging Profiling tools and experience in code and performance optimization. Knowledge of parallel computing chips such as GPU/NPU. System thinking and ability to solve problems systematically. Experience in autonomous driving robotics drones smart cars and other related industries is a plus.,2022-03-29 15:41:25.441780,[China] Shanghai China,Full-Time,7
14,Marketing Director,QST Corporation  矽睿科技,About QST: A leading sensor platform company with products application expertise & global reach benefiting from established and high-growth emerging markets. Responsibilities: · Responsible for driving customer design wins leading to significant revenue for QST inertial sensors modules and motion and GNSS positioning solutions business in Asia Pacific across a broad range of applications including consumer electronics industrial automation on/off road vehicles and IOT. · Working closely with sales applications engineering teams and technical leads analyze customer applications and competition; make sales strategy forecast sales and drive revenue growth · Utilizing knowledge of the market customers and competition work collaboratively to help to define the company’s product roadmap to effectively address opportunities · Create impressive marketing materials to showcase QST’s leadership position to customers based upon the company’s products and their features · In charge of new product launches by developing marketing collateral and a competitive price book by market segment and by product. · Decide which technical seminars trade shows and conferences to attend; facilitate the process · Help develop a regional pricing strategy. Requirements: · BS or MS Degree in Electrical or Electronics Engineering · In depth market and technical experience with MEMS sensor fusion GNSS positioning and motion sensing applications for consumer industrial and automotive application including smartphones drones wearables IoT and autonomous driving · At least 8 years of industry experience in electronics in marketing and a technical role · Ability to effectively work with the sales technical and management teams at QST · Ability to prioritize and manage multiple tasks while meeting deadlines · Good English communication skills both written and verbal are essential,2022-03-29 15:41:25.441989,[China] Shanghai China,Full-Time,7
15,Work Remotely | Part-Time Project Open for English Speakers in China,Appen,Are you creative have a passion for photography and want to work for a leading technology provider and help train a machine learning model for automatic color neutralization? We are looking for individuals with specific camera equipment who may be professional semi-professional or avid enthusiasts/ hobbyists who can understand and set specific camera operations. You will be taking videos with a variety of lighting conditions different backgrounds and will be of people and/or pets performing specific activities as outlined. Benefits: Requirements: Mirrorless/ DSLR cameras Action cameras Drones Atomos recorder Apple Application Instruction: Sign up using the link below. Make sure to choose English as your primary language and China as your country. https://connect.appen.com/qrp/public/home?sref=8871faf4fa8a7a573f0433a6c3c7188d Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends! A diverse inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds. Wchat ID: Jchan_Appen,2022-03-29 15:41:25.442160,[China] Shanghai China,Part-Time,7
16,Work Remotely | Part-Time Project Open for Chinese and English Speakers in China,Appen,Are you creative have a passion for photography and want to work for a leading technology provider and help train a machine learning model for automatic color neutralization? We are looking for individuals with specific camera equipment who may be professional semi-professional or avid enthusiasts/ hobbyists who can understand and set specific camera operations. You will be taking videos with a variety of lighting conditions different backgrounds and will be of people and/or pets performing specific activities as outlined. Benefits: Requirements: Mirrorless/ DSLR cameras Action cameras Drones Atomos recorder Apple Application Instruction: Sign up using the link below. Make sure to choose Mandarin as your primary language and China as your country. https://connect.appen.com/qrp/public/home?sref=8871faf4fa8a7a573f0433a6c3c7188d Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends! A diverse inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds. Wchat ID: Jchan_Appen,2022-03-29 15:41:25.442303,[China] Pudong Shanghai China,Part-Time,7
17,Drone Pilot,National Drones,About the business At National Drones we are passionate about innovation and are one of Australia's largest Civil Aviation Safety Authority (CASA) certified end-to-end aerial data solutions provider covering drone services software and training for large scale businesses throughout Australia. Our aim is to enable organisations to transform their operators utilising UAV data to work safer faster and smarter. Due to continued expansion National Drones is seeking a UAV operator to work with our client partners across mining solar and telecommunications sectors. About the role As one of our Pilots you will be responsible for capturing high quality inspection data for our clients that in turn can be utilised to understand the condition of vertical assets. You will be required to conduct inductions complete onsite documentation for each job as well as other onsite readiness so good planning skills are required as well as strong attention to detail. You will bring an adaptable attitude which enables you to problem solve & deal with changing client needs if and when they arise. The ability to travel and time away from home will be necessary in this role. Benefits and perks You will join an exciting team in a growing business with an opportunity to contribute to an emerging industry and the business directly. You will learn from and be mentored by people within the business that have extensive aviation and RPAS knowledge. Skills and experience,2022-03-29 15:41:25.442527,[Australia] Western Australia Australia,Full-Time,7
18,National Sales Marketing Manager,Drones For Hire,,2022-03-29 15:41:25.442606,[Australia] Sydney New South Wales Australia,Full-Time,7
19,Product Designer & Maker,Wildlife Drones,Product Designer and Maker Have you ever wondered what it would be like to see your designs and creations flying majestically through the mountains of Vietnam or high above the Galapagos Islands in the middle of the pacific ocean? Perhaps you want to use your creativity and high-quality maker skills to make a positive difference in the world but haven’t figured out how? Then read on! About us We do stuff for real people to support real science but also use some of the coolest tech to do so.  Customers across Australia and the world use our unique sensor technology which includes a combination of custom drone-mounted hardware and software to track animals tagged with radio transmitters. But we’re taking it to the next level of broader environmental applications. By pushing the limits and building systems with capabilities that have never been seen before a wide range of customers can better conserve and manage natural resources in our rapidly changing world. Our team is small focused and highly motivated so you’ll get the support freedom and flexible working conditions needed to do great things and learn a lot along the way too. We value diversity and each team member’s uniqueness. Together our individual experiences skills and knowledge are a powerful combination that helps keep us on the cutting edge of innovation. Every day we listen share and support each other and celebrate each of our contributions to the amazing work we do. We believe in a workplace that enables you to feel comfortable to just be yourself and provides an environment where you can thrive. But enough about us this is where you come in You’ll be our creative innovative and passionate designer who drives further advancement and adaptability of our core technology. You’ll enjoy the satisfaction of being involved across the whole product lifecycle from design and prototyping to production and customer delivery. You will prototype build and test your designs in the real world and enable us to expand our product offerings to include data collection from an increasingly wide array of ecological sensors. You have a thirst for solving problems and love the challenge of attaching and integrating products seamlessly with existing hardware such as drone platforms and ecological sensors. You pride yourself on creating high quahigh-quality and love working with a diversity of materials and systems to come up with unique solutions. You have high attention to detail and develop practical designs that translate into easy to use products. You’ve got awesome communication and teamwork skills since they are just as important as your design and product creation prowess. About the position - what it involves Hardware design prototyping testing and production along with requisite reporting Stock sourcing and parts inventory management Customer product assembly preparation maintenance and logistics coordination Test equipment design and prototyping Software Used So if this sounds like you and you love startups hardware design drones prototyping testing and small scale manufacturing of creative products then get in touch! We’d love to find out more about you - and you're welcome to enquire to find out more about us too. Please send us your CV  a cover letter and a sample from your portfolio of the exciting projects or products you’ve worked on!,2022-03-29 15:41:25.442658,[Australia] Canberra Australian Capital Territory Australia,Full-Time,7
20,Business Development Manager,CSG Talent,Business Development Manager - Perth Are you a Business Development Manager with 5+ years' sales experience? Have you had exposure to the mining industry? Do you have a background in GIS or Lidar? Our client is a world-leading producer of autonomous drones particularly to the mining industry. Through the integration of digital technology they are increasing efficiency and safety within the industry by autonomously mapping dangerous environments. This role will be based out of Perth Australia. With a global high growth trajectory our client is seeking a Business Development Manager to join their growing team. The role would primarily be responsible for growing revenue executing business plans and building executive relationships. In this Business Development Role you will also be responsible for: The ideal candidate will have:,2022-03-29 15:41:25.443009,[Australia] Perth Western Australia Australia,Full-Time,7
21,Licensed Surveyor,Tomkinson,Tomkinson is a regional multi-disciplinary consultancy servicing land development and government agencies. We service regional Victoria and Southern NSW. Due to an increasing NSW workload we are seeking a Licensed Surveyor for our Wangaratta office. Whilst the current workload is predominantly Victorian based we are seeking a person who is registered in NSW and preferably Victoria as well. Your work will include a range of title related work in addition to subdivisions and construction site surveys. We operate a drone service as well and see this role as being active in the use of drones for survey services as well. If you're looking for a change please get in touch and have a chat.,2022-03-29 15:41:25.443125,[Australia] Wangaratta Victoria Australia,Full-Time,7
22,Business Development Manager - Infrastructure,Aerologix,The opportunity. You will join a high growth high expectation environment at Aerologix where one of our primary values is being an expert in drone related services and operations. Aerologix is an award-winning global drone technology platform that supports the growth and development of the team plus prides itself on developing the best technology to satisfy our customer’s needs and requirements. We have ambitious plans to continue to grow our business and are looking for the right person to be our Infrastructure Lead in Australia. You will play an integral part in the development and execution of the sales strategy and plan for the Infrastructure vertical including Bridges Rail and Renewables contributing to the overall success of the Group. This role will suit a driven individual with an entrepreneurial mindset taking the reigns of all things Sales at Aerologix you will report directly to the CEO and be involved in critical strategy workshops with other members of the executive team. Key accountabilities: ·      Overseeing building and implementing sales operations for Aerologix and enhancing various office sales teams such as marketing inside sales and BDMs ·      Formulating and presenting a sales strategy and plan for this vertical including 30-day and 100-day plans ·      Further improving sales performance across key metrics to ensure commercial success ·      Ensuring KPI’s are met on a continual and consistent basis ·      Reviewing performance data to understand gaps and improvement areas to improve/lead the team ·      Being a visible presence across the sales teams ensuring employees are supported including identifying training needs What we can offer you! ·      A fun supportive and collaborative team ·      An active social committee who organise company-wide events and celebrations ·      Short Term Incentive bonus structure (Quarterly) for outperformance of key targets ·      ESOP after a period of service and based on performance ·      Domestic and international travel What we are looking for? ·      Previous Sales Management experience ideally within a high growth company selling technology solutions is preferred but not essential ·      Track record of successfully developing and managing high performing sales teams ideally both tele-sales and face-to-face ·      History of successful sales and lead generation in the Infrastructure technology space ·      Ability to negotiate manage and deliver key customer contracts ·      Experienced with setting targets performance plans and thorough objective standards for a sales team ·      Recruiting engaging retaining training and management sales team members Why join us? The opportunities are endless with personal and professional growth being one of our top priorities. We’re committed to nurturing a diverse and inclusive culture of opportunity. We encourage applications from people of culturally diverse backgrounds. If you are looking for a role that can match your ambitions we want to hear from you. How to apply Please send a Cover Letter (Max 2 pages) detailing why you would be a good fit at Aerologix and your interest in drones technology and/or aviation along with your CV to careers@aerologix.com,2022-03-29 15:41:25.443181,[Australia] Sydney New South Wales Australia,Full-Time,7
23,Junior Software Engineer,AIM,Working with AIM is an opportunity to extend yourself building on the skills you just learned while working on real world problems with purpose. About us: AIM is a deep-tech start-up building compact high-power laser systems with the most advanced AI tracking in the world. We solving the growing problem of nuisance and weaponised drones. Our highly focused team have spent the last couple of years with our head down achieving: Now we’re growing our team to tackle the next phase of problems. About you: You’ve probably just finished university or a bootcamp or have self taught yourself how to code for a couple of years. You love challenges you love new problems and you’re happy to test new things but you’re not afraid to stop working on something that isn’t working. At a minimum you will: The role: The process: Once you’ve applied if you meet the minimum criteria this is what you can expect: We’re a small company with an outsized impact if this seems like it fits what you want to do apply now. Jessica and Jae AIM Co-Founders,2022-03-29 15:41:25.443635,[Australia] Melbourne Victoria Australia,Full-Time,7
24,Administrative Assistant,Austbrokers ABS Aviation Pty Ltd,About the business and the role We are a specialist aviation insurance brokerage. Our clients come from all corners of the aviation industry; from helicopters drones and corporate jets to aircraft refuellers cleaners and manufacturers. We are looking for an Administrative Assistant to join our close knit team and help service our growing book of clients. This is a junior role but we will provide ongoing mentoring training and development to encourage career progression. During the probation period all training will be conducted in our Sydney CBD office however flexible working from home arrangements can be negotiated once this period has ended. Job tasks and responsibilities The role will involve: - Providing administrative support to the team as required. - Preparing policy documentation. - Processing new business renewal and endorsement invoices. - Basic accounting functions including debtor management. - Liaising with Insurers and clients. Skills and experience You will require: - Excellent interpersonal and communication skills (both written and verbal). - Great attention to detail. - A willingness to learn. - Have the ability to work independently and to hit the ground running - Strong time management skills and the ability to prioritise tasks. - Well developed analytical and numeracy skills - Intermediate Microsoft Outlook Word Excel and general computer skills.,2022-03-29 15:41:25.443995,[Australia] Sydney New South Wales Australia,Full-Time,7
25,Research Analyst Global Food and Agriculture,Meros Consulting,Join our team! Meros is seeking an energetic problem-solver who loves digging into complex new topics and is eager to engage with global challenges in food agriculture trade and business. This Role This a career-track position and we expect analysts to grow into consultants and project managers with increasing responsibility and independence as experience increases. As part of a small and growing company you will be able to be involved in all stages of our projects and initiatives and work directly with our senior team. We are a bilingual team with English as the basis of much of our communication. We would expect you to jump in immediately to: Research deeply into topics across the entire food and agriculture supply chain. Recent examples include: Interview industry experts both in Japan and globally from farmers to government importers start-ups investors and manufacturers Conduct field research in Japan and overseas markets to support international investment decisions identify potential applications of new innovations and technologies design export marketing strategies work with businesses to test new ideas and support governments with food and agriculture and innovation policy planning. Support implementation of projects from Japanese government agencies such as JICA or MAFF including liaising with government and industry stakeholders negotiating and clarifying contracts and preparing official documents for meetings. Work with senior staff to plan Meros events including webinars or networking events. Coordinate communication and team building among our global network of counterparts. Develop new proposals through communication with clients and Meros senior staff. Present solutions to clients and governments and discuss how new strategies and approaches can be implemented. What we are Looking for: Preferred Qualifications If you think this sounds like you please send your current resume and a cover letter telling us why you think you would be a good fit for our team! About Us Meros is a Tokyo-based consulting company focused on developing innovative business strategies and solutions for food agriculture agribusiness and agri-tech in Asia and the world. We have an office in the EU and work globally with a focus on the Asia Pacific and emerging markets. We work with private companies investors and funders industry organizations and government agencies from around the world to develop the sustainable food systems and vibrant agribusinesses of the future. We focus on “solution-based” consulting and help our clients explore business models and government policies that can address critical global challenges in food agriculture and natural resources. We are passionate about supporting the growing Asia Pacific foodtech and agtech innovation and start-up eco-system by helping creative business concepts and start-ups move into new markets raising awareness within Japan about impact investing and supporting investment into food and agtech innovation into and out of the Asia Pacific region.,2022-03-29 15:41:25.444183,[Japan] Tokyo Tokyo Japan,Full-Time,7
26,Senior Field Application Engineer – Japan Automotive and General Embedded Market (GEM) BlackBerry Technology Solutions,BlackBerry QNX,,2022-03-29 15:41:25.444626,[Japan] Tokyo Tokyo Japan,Full-Time,7
